Year,Type,Country,US zone,Area,Sex,Age,Fatal Attack
2016,Unprovoked,USA,SE coast,Florida,Male,16,No
2016,Unprovoked,USA,SE coast,Florida,Male,36,No
2016,Unprovoked,USA,SE coast,Florida,Male,43,No
2016,Unprovoked,USA,SE coast,Florida,Male,Uknown,No
2016,Unprovoked,USA,Pacific Islands,Hawaii,Female,51,No
2016,Unprovoked,USA,SE coast,South Carolina,Female,12,No
2016,Unprovoked,USA,SE coast,Florida,Male,9,No
2016,Unprovoked,USA,SW coast,California,Male,22,No
2016,Unprovoked,USA,SE coast,Florida,Male,25,No
2016,Unprovoked,USA,SE coast,Florida,Male,37,No
2016,Unprovoked,USA,SE coast,Florida,Male,49,No
2016,Unprovoked,USA,Pacific Islands,Hawaii,Male,21,No
2016,Unprovoked,USA,SE coast,Florida,Male,22,No
2016,Provoked,USA,SE coast,Florida,Male,43,No
2016,Boat,USA,SE coast,Alabama,Uknown,Uknown,No
2016,Unprovoked,USA,SE coast,Florida,Female,9,No
2016,Unprovoked,USA,SE coast,Florida,Female,11,No
2016,Unprovoked,USA,SE coast,South Carolina,Male,Uknown,No
2016,Boat,USA,SW coast,California,Male,Uknown,No
2016,Provoked,USA,NE coast,Massachusetts,Male,59,No
2016,Boat,USA,SW coast,California,Male,Uknown,No
2016,Unprovoked,USA,SE coast,Florida,Female,42,No
2016,Unprovoked,USA,SE coast,South Carolina,Male,35,No
2016,Unprovoked,USA,SE coast,North Carolina,Male,11,No
2016,Unprovoked,USA,SE coast,South Carolina,Male,42,No
2016,Unprovoked,USA,SE coast,Florida,Male,Uknown,No
2016,Unprovoked,USA,Pacific Islands,Hawaii,Male,Uknown,No
2016,Unprovoked,USA,SE coast,Texas,Female,6,No
2016,Unprovoked,USA,SE coast,North Carolina,Male,19,No
2016,Unprovoked,USA,SE coast,Florida,Male,64,No
2016,Unprovoked,USA,SW coast,California,Female,52,No
2016,Unprovoked,USA,SE coast,Florida,Male,13,No
2016,Unprovoked,USA,SE coast,Florida,Female,57,No
2016,Unprovoked,USA,SE coast,Florida,Female,22,No
2016,Unprovoked,USA,SE coast,Florida,Female,11,No
2016,Unprovoked,USA,SE coast,Florida,Male,48,No
2016,Provoked,USA,SE coast,Florida,Female,23,No
2016,Unprovoked,USA,Pacific Islands,Hawaii,Male,59,No
2016,Unprovoked,USA,SE coast,Florida,Male,15,No
2016,Unprovoked,USA,SE coast,Florida,Male,26,No
2016,Unprovoked,USA,SE coast,Florida,Male,34,No
2016,Unprovoked,USA,Pacific Islands,Hawaii,Female,46,No
2016,Unprovoked,USA,SE coast,Florida,Male,Uknown,No
2016,Unprovoked,USA,SE coast,Florida,Male,19,No
2016,Unprovoked,USA,SE coast,Florida,Male,12,No
2016,Unprovoked,USA,Pacific Islands,Hawaii,Male,Uknown,No
2016,Unprovoked,USA,Pacific Islands,Hawaii,Female,15,No
2016,Unprovoked,USA,SE coast,Texas,Male,Uknown,No
2016,Unprovoked,USA,Pacific Islands,Hawaii,Male,48,No
2015,Unprovoked,USA,Pacific Islands,Hawaii,Male,71,No
2015,Unprovoked,USA,SE coast,Florida,Male,Uknown,No
2015,Unprovoked,USA,SE coast,Florida,Female,Uknown,No
2015,Unprovoked,USA,SE coast,Florida,Male,28,No
2015,Unprovoked,USA,Pacific Islands,Hawaii,Male,54,No
2015,Unprovoked,USA,SE coast,Florida,Female,28,No
2015,Unprovoked,USA,Pacific Islands,Hawaii,Male,10,No
2015,Unprovoked,USA,SE coast,Florida,Male,21,No
2015,Unprovoked,USA,SE coast,Florida,Male,21,No
2015,Unprovoked,USA,Pacific Islands,Hawaii,Male,44,No
2015,Boat,USA,SW coast,California,Male,Uknown,No
2015,Unprovoked,USA,SE coast,South Carolina,Female,9,No
2015,Unprovoked,USA,Pacific Islands,Hawaii,Male,25,No
2015,Unprovoked,USA,SE coast,Florida,Male,22,No
2015,Unprovoked,USA,SE coast,Texas,Male,13,No
2015,Unprovoked,USA,SE coast,Florida,Male,14,No
2015,Unprovoked,USA,SE coast,Florida,Male,22,No
2015,Unprovoked,USA,SW coast,California,Male,Uknown,No
2015,Unprovoked,USA,SE coast,Florida,Male,14,No
2015,Unprovoked,USA,Pacific Islands,Hawaii,Male,27,No
2015,Unprovoked,USA,SE coast,Florida,Male,12,No
2015,Unprovoked,USA,SE coast,Florida,Male,16,No
2015,Unprovoked,USA,SE coast,Florida,Male,Uknown,No
2015,Unprovoked,USA,SE coast,Florida,Male,20,No
2015,Unprovoked,USA,SW coast,California,Female,50,No
2015,Provoked,USA,SW coast,California,Male,29,No
2015,Unprovoked,USA,SE coast,South Carolina,Male,Uknown,No
2015,Unprovoked,USA,SW coast,California,Female,54,No
2015,Unprovoked,USA,SW coast,California,Male,21,No
2015,Unprovoked,USA,SE coast,South Carolina,Male,15,No
2015,Unprovoked,USA,SE coast,Florida,Female,10,No
2015,Unprovoked,USA,SW coast,California,Male,22,No
2015,Provoked,USA,SW coast,California,Male,57,No
2015,Unprovoked,USA,SE coast,Florida,Male,25,No
2015,Provoked,USA,SW coast,California,Male,31,No
2015,Unprovoked,USA,SW coast,California,Male,38,No
2015,Unprovoked,USA,SE coast,North Carolina,Male,32,No
2015,Unprovoked,USA,SE coast,North Carolina,Male,68,No
2015,Unprovoked,USA,SE coast,South Carolina,Male,12,No
2015,Unprovoked,USA,SE coast,North Carolina,Male,18,No
2015,Unprovoked,USA,SE coast,South Carolina,Male,43,No
2015,Unprovoked,USA,SE coast,North Carolina,Male,47,No
2015,Unprovoked,USA,SE coast,North Carolina,Male,6,No
2015,Unprovoked,USA,SE coast,South Carolina,Male,9,No
2015,Unprovoked,USA,SE coast,Florida,Male,10,No
2015,Unprovoked,USA,SE coast,North Carolina,Male,16,No
2015,Unprovoked,USA,SE coast,North Carolina,Female,12,No
2015,Unprovoked,USA,SW coast,California,Female,Uknown,No
2015,Unprovoked,USA,SE coast,North Carolina,Female,13,No
2015,Unprovoked,USA,SE coast,Florida,Male,11,No
2015,Unprovoked,USA,SE coast,Florida,Female,17,No
2015,Unprovoked,USA,SE coast,Florida,Female,14,No
2015,Unprovoked,USA,SE coast,Florida,Female,19,No
2015,Unprovoked,USA,SE coast,Florida,Female,13,No
2015,Unprovoked,USA,SE coast,Florida,Male,18,No
2015,Unprovoked,USA,SE coast,South Carolina,Male,30,No
2015,Unprovoked,USA,SE coast,Florida,Male,Uknown,No
2015,Unprovoked,USA,Pacific Islands,Hawaii,Female,65,Yes
2015,Unprovoked,USA,SE coast,Florida,Male,63,No
2015,Unprovoked,USA,SE coast,Florida,Male,48,No
2015,Unprovoked,USA,SE coast,Florida,Male,70,No
2015,Unprovoked,USA,Pacific Islands,Hawaii,Male,58,No
2015,Provoked,USA,Pacific Islands,Hawaii,Male,20,No
2015,Boat,USA,SE coast,Florida,Male,Uknown,No
2015,Unprovoked,USA,SE coast,Florida,Male,12,No
2014,Unprovoked,USA,SW coast,California,Male,50,No
2014,Unprovoked,USA,SE coast,Florida,Male,44,No
2014,Boat,USA,SW coast,California,Uknown,Uknown,No
2014,Unprovoked,USA,Pacific Islands,Hawaii,Male,53,No
2014,Unprovoked,USA,SE coast,Florida,Male,18,No
2014,Unprovoked,USA,Pacific Islands,Hawaii,Female,34,No
2014,Unprovoked,USA,Pacific Islands,Hawaii,Female,Uknown,No
2014,Unprovoked,USA,Pacific Islands,Hawaii,Male,Uknown,No
2014,Boat,USA,SW coast,California,Female,Uknown,No
2014,Unprovoked,USA,Pacific Islands,Hawaii,Male,Uknown,No
2014,Unprovoked,USA,SE coast,South Carolina,Female,7,No
2014,Unprovoked,USA,SE coast,Florida,Female,Uknown,No
2014,Unprovoked,USA,SE coast,Florida,Female,40,No
2014,Unprovoked,USA,SE coast,Florida,Male,29,No
2014,Unprovoked,USA,SE coast,Florida,Male,15,No
2014,Boat,USA,SW coast,California,Male,Uknown,No
2014,Boat,USA,SW coast,California,Male,Uknown,No
2014,Unprovoked,USA,SW coast,California,Male,28,No
2014,Unprovoked,USA,SE coast,Florida,Male,Uknown,No
2014,Unprovoked,USA,SE coast,Alabama,Male,43,No
2014,Unprovoked,USA,NE coast,Massachusetts,Female,Uknown,No
2014,Provoked,USA,SE coast,Florida,Male,52,No
